Designator,Mid X,Mid Y,Rotation,Layer
_6,136.255,-14.205,0.0,top
_5,94.555,-1.535,0.0,top
_4,147.015,-3.065,0.0,top
_3,94.295,-7.445633,0.0,top
_2,112.225,-13.965,0.0,top
,130.75,-14.19,0.0,top
F,131.044,-12.172,90.0,top
J1,127.625,-5,180.0,top
J2,120.376,-13.315,0.0,top
J3,107.93,-8.743,270.0,top
J4,123.249,-13.061,180.0,bottom
R1,120.757,-4.425,90.0,top
R2,134.727,-4.425,90.0,top
U1,127.525,-12.195,90.0,top
